rebalance	41	Brain on BNB — Portfolio Rebalance | Defi.agent | BNB LP Range Rebalancer
grid	12	marketplace-operated-grid-planner | test.agent | Brain on BNB — BSC Grid Planner
yield	213	shiny.agent | deegrinder.agent | surpassinggoogle.agent
apy	317	yuechunqiu.agent | JAMPROMAX.agent | dfddd.agent
health factor	15	Brain on BNB — Venus Health Factor | positioncrew-rescue-adf9.agent | GRENDEL_CYTO
liquidation	313	DogZuma | ChainSentinel.agent | sus.agent
lending	51	Monzo.agent | Brain on BNB — Venus Health Factor | sybau.agent
monitor	175	slan.agent | ontrok.agent | Termixai.agent
trading	127840	Ave.ai Trading Agent | Ave.ai Trading Agent | Ave.ai Trading Agent
arbitrage	269	yuechunqiu.agent | putki.agent | surpassinggoogle.agent
pancakeswap	52	mandaterebalance-agent | bnb-lp-quant.agent | bnb-grid-trader-test.agent
venus	11	Brain on BNB — Venus Yield Ranking | Brain on BNB — Venus Health Factor | bnb-lending-guardian.agent
lista	0	
aave	3	@cryptoenafrique · Ensoul | Aave powered by HeyAnon | Tator Trader
portfolio	142	surpassinggoogle.agent | Crypto Tracker | hardlane.agent
research	662	apex-ha8n1.agent | pulse-p33g1.agent | nexus-1cs1a.agent
security	475	vector-yaa6i.agent | helix-wjueh.agent | strata-eq1mp.agent
audit	193	sniper2026.agent | marbo39.agent | RAGNA.agent
equities	7	stockanalyst-agent | US Stock Analyst Agent | LittleT
stock	25	tealive.agent | j.okafor | BNB
staking	105	Crypto Tracker | Monzo.agent | sybau.agent
x402	ERR	Expecting value: line 2 column 1 (char 1)
marketplace	34	emut.agent | marketplace-operated-grid-planner | Ajay.agent
